frame,class_id,class_name,confidence,x1,y1,x2,y2
381,5,speedboat,0.8618,6.8,206.7,146.3,298.5
382,5,speedboat,0.8931,1220.2,344.4,1361.7,415.2
382,5,speedboat,0.8642,12.6,206.1,150.6,297.2
383,5,speedboat,0.8901,1221.1,342.5,1364.7,415.5
383,5,speedboat,0.8711,16.9,206.0,156.5,295.1
384,5,speedboat,0.8967,1227.5,342.8,1369.3,416.8
384,5,speedboat,0.8852,20.1,204.7,158.3,291.4
385,5,speedboat,0.8908,27.1,203.8,160.0,291.4
385,5,speedboat,0.8885,1228.4,342.7,1372.7,415.0
386,5,speedboat,0.8908,27.2,203.8,160.0,291.4
386,5,speedboat,0.8887,1228.4,342.6,1372.6,415.0
387,5,speedboat,0.8891,1232.8,342.1,1374.6,413.6
387,5,speedboat,0.863,30.3,206.0,167.1,282.1
388,5,speedboat,0.8908,1238.1,341.3,1381.5,413.5
388,5,speedboat,0.8821,34.7,205.0,168.0,282.3
389,5,speedboat,0.8932,1241.5,341.1,1384.2,413.7
389,5,speedboat,0.8422,38.4,203.5,172.5,284.9
390,5,speedboat,0.8839,1244.4,340.8,1388.2,414.4
390,5,speedboat,0.8348,42.0,203.4,181.4,284.2
391,5,speedboat,0.8839,1244.4,340.8,1388.3,414.4
391,5,speedboat,0.8349,42.1,203.4,181.4,284.2
392,5,speedboat,0.9007,1250.1,341.8,1392.6,413.4
392,5,speedboat,0.8607,46.5,202.8,181.8,283.1
393,5,speedboat,0.8888,1252.0,340.9,1397.7,413.7
393,5,speedboat,0.8692,51.5,201.4,186.5,280.0
394,5,speedboat,0.9046,53.7,199.8,193.4,277.3
394,5,speedboat,0.876,1257.1,340.4,1398.1,413.1
395,5,speedboat,0.8622,1262.9,340.4,1401.8,412.2
395,5,speedboat,0.8347,57.8,199.0,195.0,278.0
396,5,speedboat,0.862,1262.9,340.4,1401.8,412.2
396,5,speedboat,0.8231,57.8,199.0,195.0,277.9
397,5,speedboat,0.8976,1265.2,339.2,1403.9,411.2
397,5,speedboat,0.8888,61.9,198.7,196.8,278.3
398,5,speedboat,0.8984,67.8,196.7,201.8,278.9
398,5,speedboat,0.8933,1269.4,339.1,1407.1,410.0
399,5,speedboat,0.8893,71.6,196.2,205.1,277.8
399,5,speedboat,0.888,1273.6,339.4,1413.7,410.1
400,5,speedboat,0.9022,74.9,194.7,205.9,275.3
400,5,speedboat,0.9013,1275.6,339.6,1414.6,409.2
401,5,speedboat,0.9022,74.9,194.7,205.9,275.3
401,5,speedboat,0.9014,1275.6,339.6,1414.6,409.2
402,5,speedboat,0.9055,79.0,192.0,213.1,275.2
402,5,speedboat,0.893,1280.3,338.3,1419.3,408.8
403,5,speedboat,0.896,1285.5,337.4,1425.3,409.1
403,5,speedboat,0.8834,82.1,193.2,220.5,277.8
404,5,speedboat,0.9056,1288.5,336.7,1428.3,409.4
404,5,speedboat,0.8847,85.8,191.2,219.5,275.9
405,5,speedboat,0.8984,1293.6,333.8,1432.5,410.4
405,5,speedboat,0.8844,89.9,190.2,227.3,274.2
406,5,speedboat,0.8988,1293.6,333.8,1432.5,410.4
406,5,speedboat,0.8844,89.9,190.2,227.3,274.2
407,5,speedboat,0.9097,1297.5,336.7,1436.1,409.3
407,5,speedboat,0.8929,94.2,189.3,229.7,273.6
408,5,speedboat,0.9053,1299.8,337.2,1439.6,409.2
408,5,speedboat,0.8935,99.0,188.4,235.2,274.1
409,5,speedboat,0.9101,1304.1,336.3,1444.1,408.8
409,5,speedboat,0.8951,103.1,187.4,238.9,270.6
410,5,speedboat,0.9108,1308.9,336.6,1448.8,408.0
410,5,speedboat,0.8889,104.3,185.3,243.3,269.6
